[22:22:15] logs test 4811145.65100915
[22:22:15] [ZodiacSigns] getSign is OK!
[22:22:15] [ZodiacSigns] hasSign is OK!
[22:22:16] [HttpParser] getHtmlString is OK!
[22:22:16] [HttpParser] getElementsByClassName is OK!
[22:22:16] [HttpParser] getElementsTextByClassName is OK!
[22:22:16] [Horoscope] constructor is OK!
[22:22:17] [Horoscope] getPredictionDay is OK!
[22:22:17] [Horoscope] getPrediction is OK!
[22:22:17] [Bot] me is OK!
[22:22:18] [Bot] methods is OK!
[22:22:18] [TextMessagesHandler] isTextCommand is OK!
[22:22:18] [Commands] has is OK!
[22:22:18] [Commands] equal is OK!
[22:22:18] [Settings] initializeChatSettings is OK!
[22:22:18] [Settings] deleteChatSettings is OK!
[22:22:18] [Settings] hasChat is OK!
[22:22:18] [Settings] toggleSilentValue is OK!
[22:22:18] [Settings] toggleSignValue is OK!
[22:22:18] Horoscope bot launched!
